repetition,scenario,defense,queries,abstract_query_cost,abstract_latency_ms,simulated_realistic_latency_ms
2,benign_standard,AP2_ONLY,0,0,3.1696,0.0
2,benign_standard,MAJORITY,5,14,50.5125,240.0724
2,benign_standard,TTL,0,0,13.4336,0.0
2,benign_standard,FULL,5,14,53.5405,173.0893
2,benign_standard,CWR,0,0,13.0956,0.0
2,benign_standard,DFMR,0,0,13.8537,0.0
2,benign_cached,AP2_ONLY,0,0,17.2251,0.0
2,benign_cached,MAJORITY,5,14,66.3576,221.9914
2,benign_cached,TTL,0,0,3.2007,0.0
2,benign_cached,FULL,5,14,78.3865,528.2355
2,benign_cached,CWR,0,0,4.0637,0.0
2,benign_cached,DFMR,0,0,3.125,0.0
2,benign_one_source_outage,AP2_ONLY,0,0,17.8387,0.0
2,benign_one_source_outage,MAJORITY,5,14,45.4626,309.6463
2,benign_one_source_outage,TTL,0,0,2.9148,0.0
2,benign_one_source_outage,FULL,5,14,6.8117,326.3555
2,benign_one_source_outage,CWR,0,0,2.8562,0.0
2,benign_one_source_outage,DFMR,0,0,2.6906,0.0
2,benign_two_independent_outages,AP2_ONLY,0,0,2.55,0.0
2,benign_two_independent_outages,MAJORITY,5,14,38.7529,170.1946
2,benign_two_independent_outages,TTL,0,0,2.8772,0.0
2,benign_two_independent_outages,FULL,5,14,57.6094,204.4426
2,benign_two_independent_outages,CWR,3,10,31.6423,298.9274
2,benign_two_independent_outages,DFMR,5,14,45.6049,694.088
2,prompt_injection,AP2_ONLY,0,0,2.6265,0.0
2,prompt_injection,MAJORITY,5,14,13.391,377.6887
2,prompt_injection,TTL,0,0,1.7172,0.0
2,prompt_injection,FULL,5,14,62.6404,423.1518
2,prompt_injection,CWR,3,10,45.0322,318.9374
2,prompt_injection,DFMR,0,0,1.9862,0.0
2,role_tag_injection,AP2_ONLY,0,0,13.442,0.0
2,role_tag_injection,MAJORITY,5,14,54.2055,336.5897
2,role_tag_injection,TTL,0,0,1.7205,0.0
2,role_tag_injection,FULL,5,14,45.1755,280.4599
2,role_tag_injection,CWR,3,10,44.9248,127.9975
2,role_tag_injection,DFMR,3,10,30.0706,619.2736
2,semantic_substitution,AP2_ONLY,0,0,7.4512,0.0
2,semantic_substitution,MAJORITY,5,14,33.7982,273.2766
2,semantic_substitution,TTL,0,0,3.7818,0.0
2,semantic_substitution,FULL,5,14,63.5431,188.9061
2,semantic_substitution,CWR,3,10,7.7681,234.5908
2,semantic_substitution,DFMR,0,0,2.8284,0.0
2,shared_provenance,AP2_ONLY,0,0,5.5556,0.0
2,shared_provenance,MAJORITY,5,14,43.3464,272.5928
2,shared_provenance,TTL,0,0,2.6609,0.0
2,shared_provenance,FULL,5,14,14.2684,193.9393
2,shared_provenance,CWR,3,10,6.6221,443.8407
2,shared_provenance,DFMR,3,10,24.1095,537.0482
2,stale_evidence,AP2_ONLY,0,0,4.7256,0.0
2,stale_evidence,MAJORITY,5,14,12.195,497.4896
2,stale_evidence,TTL,0,0,4.7888,0.0
2,stale_evidence,FULL,5,14,48.4066,269.1496
2,stale_evidence,CWR,3,10,32.288,379.3833
2,stale_evidence,DFMR,3,10,48.2877,537.8827
